CountryCode;CountryName;RegionName;SubregionName;LDC;LLDC;SIDS;Density(P/Km2);LandArea(Km2);GDP;Population;Urban_population;Fragility_State_Index_Clean;GHG_Emissions_2020;GHG_Emissions_1990;EPI.new;SUM(KBAArea);IKIPriorityCountry
UKR;Ukraine;Europe;Eastern Europe;0;0;0;75;60355;153781000000;44385155;30835699;95.9;224.44;786.55;49.6;3029327;1
UZB;Uzbekistan;Asia;Central Asia;0;1;0;79;4474;57921286440;33580650;16935729;66.8;184.15;167.26;38.2;3278931;0
VCT;Saint Vincent and the Grenadines;Americas;Latin America and the Caribbean;0;0;1;284;389;825385185;100455;58185;;0.3;0.11;53.2;26394;0
VEN;Venezuela;Americas;Latin America and the Caribbean;0;0;0;32;91205;482359000000;28515829;25162368;90.5;237.63;436.57;46.4;27554528;0
VNM;Viet Nam;Asia;South-eastern Asia;0;0;0;314;33121;261921000000;96462106;35332140;58.3;458.14;0.57;20.1;3710875;1
VUT;Vanuatu;Oceania;Melanesia;0;0;1;25;12189;917058851;299882;76152;;0.59;0.48;36.9;863753;0
WLF;Wallis and Futuna;Oceania;Polynesia;0;0;0;;;;;;;;;;573823;0
WSM;Samoa;Oceania;Polynesia;0;0;1;70;2831;850655017;202506;35588;65.1;0.65;0.44;36.4;110297;0
YEM;Yemen;Asia;Western Asia;1;0;0;56;527968;26914402224;29161922;10869523;108.9;24.39;16.87;;1942253;0
ZAF;South Africa;Africa;Sub-Saharan Africa;0;0;0;49;1219090;351432000000;58558270;39149717;72;508.38;334.69;37.2;20761770;1
ZMB;Zambia;Africa;Sub-Saharan Africa;1;1;0;25;752618;23064722446;17861030;7871713;81.8;91.19;61.73;38.4;10389578;0
ZWE;Zimbabwe;Africa;Sub-Saharan Africa;0;1;0;38;390757;21440758800;14645468;4717305;96.9;113.2;42.57;46.2;3225681;0
